Deep learning_US,AI_US,ChatGPT_US,Machine learning_US,Data Science_US,Deep learning_GB,AI_GB,ChatGPT_GB,Machine learning_GB,Data Science_GB,Deep learning_DE,AI_DE,ChatGPT_DE,Machine learning_DE,Data Science_DE,Deep learning_FR,AI_FR,ChatGPT_FR,Machine learning_FR,Data Science_FR,Deep learning_ES,AI_ES,ChatGPT_ES,Machine learning_ES,Data Science_ES,date
0,0,0,79,92,0,7,0,69,100,93,11,0,0,67,84,31,0,0,88,56,0,0,73,0,2019-10-06
0,0,0,78,90,0,7,0,80,90,91,11,0,0,64,75,33,0,0,89,52,0,0,68,0,2019-10-13
0,0,0,81,93,0,7,0,77,93,89,10,0,0,70,66,35,0,0,77,54,0,0,76,0,2019-10-20
0,0,0,75,84,0,6,0,63,71,74,11,0,0,59,53,34,0,0,59,37,0,0,67,0,2019-10-27
0,0,0,78,91,0,7,0,66,87,75,11,0,0,54,61,34,0,0,82,67,0,0,68,0,2019-11-03
0,0,0,75,83,0,7,0,69,83,75,12,0,0,65,59,33,0,0,77,48,0,0,73,0,2019-11-10
0,0,0,75,83,0,7,0,68,83,77,12,0,0,58,78,32,0,0,79,47,0,0,64,0,2019-11-17
0,0,0,60,68,0,6,0,62,77,67,11,0,0,65,68,30,0,0,77,43,0,0,67,0,2019-11-24
0,0,0,81,86,0,6,0,61,76,70,11,0,0,62,60,30,0,0,73,50,0,0,68,0,2019-12-01
0,0,0,75,74,0,6,0,61,72,82,12,0,0,63,71,31,0,0,55,42,0,0,61,0,2019-12-08
0,0,0,71,79,0,7,0,70,76,63,11,0,0,52,63,33,0,0,80,54,0,0,59,0,2019-12-15
0,0,0,51,59,0,6,0,41,43,45,11,0,0,36,49,31,0,0,45,35,0,0,37,0,2019-12-22
0,0,0,51,61,0,6,0,43,53,56,11,0,0,47,53,36,0,0,48,23,0,0,53,0,2019-12-29
0,0,0,67,82,0,7,0,61,83,78,12,0,0,69,66,32,0,0,68,62,0,0,59,0,2020-01-05
0,0,0,71,89,0,7,0,74,85,82,11,0,0,64,72,34,0,0,72,60,0,0,69,0,2020-01-12
0,0,0,74,87,0,7,0,68,82,65,13,0,0,79,68,32,0,0,80,27,0,0,61,0,2020-01-19
0,0,0,72,89,0,7,0,69,92,81,13,0,0,67,76,35,0,0,66,43,0,0,68,0,2020-01-26
0,0,0,82,93,0,7,0,69,78,70,11,0,0,69,72,34,0,0,72,43,0,0,60,0,2020-02-02
0,0,0,84,96,0,7,0,76,89,73,13,0,0,75,59,33,0,0,68,60,0,0,67,0,2020-02-09
0,0,0,78,88,0,8,0,78,95,75,13,0,0,84,90,35,0,0,77,59,0,0,73,0,2020-02-16
0,0,0,80,91,0,7,0,76,88,57,12,0,0,53,74,33,0,0,69,69,0,0,72,0,2020-02-23
0,0,0,74,89,0,8,0,73,96,63,12,0,0,70,68,34,0,0,72,44,0,0,75,0,2020-03-01
0,0,0,65,73,0,7,0,67,81,52,10,0,0,50,69,29,0,0,80,57,0,0,59,0,2020-03-08
0,0,0,60,65,0,6,0,60,78,48,10,0,0,45,46,40,0,0,48,36,0,0,48,0,2020-03-15
0,0,0,61,68,0,6,0,57,63,56,10,0,0,56,60,43,0,0,60,46,0,0,65,0,2020-03-22
0,0,0,64,74,0,7,0,59,71,62,10,0,0,62,65,44,0,0,63,55,0,0,56,0,2020-03-29
0,0,0,67,77,0,6,0,52,67,55,11,0,0,67,64,46,0,0,75,53,0,0,59,0,2020-04-05
0,0,0,70,79,0,7,0,59,72,62,10,0,0,63,70,41,0,0,75,54,0,0,69,0,2020-04-12
0,0,0,70,74,0,7,0,58,77,76,10,0,0,59,63,41,0,0,58,46,0,0,61,0,2020-04-19
0,0,0,69,78,0,7,0,60,81,59,11,0,0,63,60,41,0,0,59,61,0,0,67,0,2020-04-26
0,0,0,69,79,0,7,0,71,78,71,11,0,0,56,69,40,0,0,60,51,0,0,69,0,2020-05-03
0,0,0,71,79,0,7,0,60,73,63,11,0,0,64,57,36,0,0,61,57,0,0,59,0,2020-05-10
0,0,0,65,79,0,7,0,64,90,67,11,0,0,67,67,34,0,0,64,78,0,0,90,0,2020-05-17
0,0,0,68,77,0,7,0,62,58,71,10,0,0,58,73,37,0,0,94,54,0,0,68,0,2020-05-24
0,0,0,64,75,0,6,0,66,75,63,10,0,0,63,61,35,0,0,69,56,0,0,77,0,2020-05-31
0,0,0,71,81,0,7,0,66,87,68,11,0,0,62,73,34,0,0,70,45,0,0,56,0,2020-06-07
0,0,0,70,75,0,7,0,64,93,67,12,0,0,62,80,35,0,0,77,59,0,0,68,0,2020-06-14
0,0,0,69,75,0,6,0,59,67,75,11,0,0,70,78,33,0,0,77,45,0,0,53,0,2020-06-21
0,0,0,66,73,0,6,0,55,84,70,12,0,0,70,65,30,0,0,78,70,0,0,47,0,2020-06-28
0,0,0,70,79,0,6,0,61,76,77,11,0,0,64,76,32,0,0,81,36,0,0,65,0,2020-07-05
0,0,0,71,82,0,6,0,55,79,68,11,0,0,67,49,32,0,0,68,71,0,0,64,0,2020-07-12
0,0,0,70,81,0,7,0,68,84,71,11,0,0,67,59,32,0,0,65,38,0,0,44,0,2020-07-19
0,0,0,71,77,0,7,0,60,79,64,11,0,0,61,72,30,0,0,60,51,0,0,54,0,2020-07-26
0,0,0,69,77,0,6,0,63,76,65,11,0,0,72,63,32,0,0,56,47,0,0,47,0,2020-08-02
0,0,0,67,78,0,7,0,58,83,58,10,0,0,67,47,33,0,0,59,45,0,0,49,0,2020-08-09
0,0,0,65,86,0,6,0,60,82,63,10,0,0,70,58,33,0,0,68,29,0,0,62,0,2020-08-16
0,0,0,66,94,0,6,0,55,77,71,11,0,0,69,53,33,0,0,71,31,0,0,49,0,2020-08-23
0,0,0,64,94,0,6,0,54,80,76,11,0,0,73,64,34,0,0,72,45,0,0,58,0,2020-08-30
65,9,0,71,0,0,0,0,61,0,0,11,0,81,68,63,32,0,62,0,58,12,0,78,0,2020-09-06
74,8,0,70,0,0,0,0,62,0,0,11,0,68,67,63,35,0,61,0,40,10,0,77,0,2020-09-13
70,8,0,69,0,0,0,0,60,0,0,11,0,71,75,67,36,0,70,0,53,10,0,49,0,2020-09-20
66,7,0,73,0,0,0,0,62,0,0,12,0,60,58,54,36,0,71,0,47,11,0,65,0,2020-09-27
61,7,0,64,0,0,0,0,61,0,0,10,0,65,69,59,32,0,54,0,35,11,0,66,0,2020-10-04
64,7,0,65,0,0,0,0,68,0,0,12,0,61,62,54,32,0,60,0,27,10,0,52,0,2020-10-11
62,7,0,69,0,0,0,0,63,0,0,11,0,61,56,63,36,0,58,0,43,10,0,44,0,2020-10-18
62,7,0,63,0,0,0,0,60,0,0,11,0,65,60,58,34,0,52,0,29,11,0,54,0,2020-10-25
47,6,0,49,0,0,0,0,66,0,0,10,0,48,60,47,40,0,57,0,36,10,0,51,0,2020-11-01
61,7,0,63,0,0,0,0,65,0,0,10,0,67,64,74,35,0,50,0,33,11,0,48,0,2020-11-08
54,8,0,64,0,0,0,0,60,0,0,11,0,72,51,50,38,0,59,0,46,12,0,69,0,2020-11-15
55,7,0,57,0,0,0,0,58,0,0,11,0,68,67,61,37,0,66,0,46,11,0,53,0,2020-11-22
65,9,0,66,0,0,0,0,66,0,0,11,0,57,49,56,35,0,60,0,42,10,0,53,0,2020-11-29
63,8,0,63,0,0,0,0,70,0,0,12,0,68,51,56,33,0,63,0,54,10,0,50,0,2020-12-06
52,8,0,61,0,0,0,0,54,0,0,11,0,53,42,55,32,0,55,0,44,11,0,52,0,2020-12-13
42,9,0,48,0,0,0,0,46,0,0,11,0,45,41,29,36,0,44,0,48,10,0,49,0,2020-12-20
47,8,0,47,0,0,0,0,43,0,0,11,0,41,39,43,35,0,39,0,32,9,0,48,0,2020-12-27
49,7,0,51,0,0,0,0,53,0,0,11,0,56,62,45,38,0,63,0,29,10,0,44,0,2021-01-03
52,8,0,56,0,0,0,0,57,0,0,11,0,58,53,71,36,0,64,0,44,11,0,54,0,2021-01-10
52,8,0,55,0,0,0,0,57,0,0,12,0,59,60,69,36,0,71,0,40,10,0,50,0,2021-01-17
48,7,0,59,0,0,0,0,65,0,0,11,0,58,60,57,39,0,68,0,38,11,0,49,0,2021-01-24
57,9,0,62,0,0,0,0,57,0,0,11,0,63,66,56,38,0,65,0,60,11,0,54,0,2021-01-31
60,8,0,59,0,0,0,0,57,0,0,11,0,61,53,62,37,0,53,0,44,10,0,66,0,2021-02-07
53,8,0,61,0,0,0,0,52,0,0,11,0,64,65,67,37,0,66,0,48,13,0,57,0,2021-02-14
56,8,0,62,0,0,0,0,55,0,0,11,0,62,65,57,36,0,59,0,59,12,0,59,0,2021-02-21
52,8,0,62,0,0,0,0,55,0,0,11,0,65,61,54,38,0,62,0,38,11,0,53,0,2021-02-28
54,9,0,61,0,0,0,0,56,0,0,12,0,60,53,49,40,0,77,0,66,13,0,55,0,2021-03-07
52,8,0,62,0,0,0,0,56,0,0,13,0,53,61,61,39,0,73,0,52,18,0,57,0,2021-03-14
54,8,0,61,0,0,0,0,56,0,0,14,0,62,51,65,47,0,61,0,54,14,0,68,0,2021-03-21
53,8,0,61,0,0,0,0,44,0,0,13,0,64,61,50,41,0,60,0,48,14,0,43,0,2021-03-28
51,9,0,62,0,0,0,0,42,0,0,13,0,59,50,61,43,0,63,0,46,13,0,41,0,2021-04-04
56,8,0,64,0,0,0,0,56,0,0,12,0,61,53,76,44,0,56,0,45,12,0,47,0,2021-04-11
59,8,0,66,0,0,0,0,53,0,0,12,0,57,61,46,43,0,62,0,27,12,0,55,0,2021-04-18
52,8,0,62,0,0,0,0,57,0,0,12,0,59,54,47,40,0,58,0,40,12,0,65,0,2021-04-25
55,8,0,67,0,0,0,0,48,0,0,11,0,60,53,56,42,0,57,0,39,12,0,65,0,2021-05-02
59,8,0,67,0,0,0,0,49,0,0,11,0,54,52,57,39,0,55,0,40,11,0,65,0,2021-05-09
56,8,0,61,0,0,0,0,46,0,0,12,0,66,65,81,44,0,55,0,46,11,0,59,0,2021-05-16
54,9,0,63,0,0,0,0,50,0,0,11,0,57,52,48,41,0,57,0,50,11,0,59,0,2021-05-23
54,8,0,59,0,0,0,0,42,0,0,13,0,53,62,59,40,0,54,0,39,11,0,51,0,2021-05-30
48,12,0,59,0,0,0,0,46,0,0,13,0,66,54,43,36,0,56,0,30,10,0,44,0,2021-06-06
48,8,0,58,0,0,0,0,44,0,0,12,0,56,51,39,41,0,54,0,43,11,0,55,0,2021-06-13
52,8,0,58,0,0,0,0,44,0,0,12,0,55,51,44,39,0,47,0,35,11,0,50,0,2021-06-20
57,8,0,63,0,0,0,0,45,0,0,12,0,59,58,35,42,0,44,0,36,10,0,44,0,2021-06-27
44,7,0,58,0,0,0,0,45,0,0,12,0,57,62,49,40,0,52,0,42,11,0,54,0,2021-07-04
51,8,0,59,0,0,0,0,44,0,0,12,0,53,55,33,46,0,38,0,43,12,0,38,0,2021-07-11
49,8,0,68,0,0,0,0,43,0,0,12,0,62,57,44,39,0,47,0,53,12,0,66,0,2021-07-18
48,8,0,60,0,0,0,0,41,0,0,12,0,63,60,42,34,0,43,0,43,12,0,43,0,2021-07-25
44,7,0,60,0,0,0,0,41,0,0,12,0,47,64,42,35,0,35,0,20,11,0,51,0,2021-08-01
46,8,0,52,0,0,0,0,42,0,0,11,0,53,58,26,38,0,38,0,20,12,0,39,0,2021-08-08
53,9,0,61,0,0,0,0,46,0,0,12,0,43,50,32,38,0,35,0,37,12,0,44,0,2021-08-15
54,8,0,65,0,0,0,0,37,0,0,12,0,44,49,36,38,0,40,0,20,11,0,52,0,2021-08-22
54,8,0,66,0,0,0,0,35,0,0,11,0,48,47,50,33,0,41,0,29,12,0,38,0,2021-08-29
51,9,0,69,0,0,0,0,43,0,0,12,0,50,52,49,38,0,42,0,33,11,0,44,0,2021-09-05
61,9,0,71,0,0,0,0,43,0,0,12,0,53,61,46,40,0,56,0,32,11,0,55,0,2021-09-12
56,8,0,71,0,0,0,0,47,0,0,12,0,50,57,51,39,0,63,0,66,12,0,45,0,2021-09-19
57,8,0,73,0,0,0,0,51,0,0,11,0,50,50,49,40,0,63,0,53,12,0,49,0,2021-09-26
61,8,0,73,0,0,0,0,52,0,0,12,0,51,66,61,41,0,55,0,43,11,0,56,0,2021-10-03
69,9,0,79,0,0,0,0,51,0,0,13,0,67,69,68,43,0,61,0,47,13,0,54,0,2021-10-10
68,8,0,75,0,0,0,0,57,0,0,13,0,73,68,68,44,0,73,0,53,12,0,44,0,2021-10-17
70,8,0,78,0,0,0,0,52,0,0,12,0,68,58,67,42,0,73,0,34,11,0,59,0,2021-10-24
58,8,0,73,0,0,0,0,50,0,0,13,0,54,68,59,43,0,56,0,31,13,0,45,0,2021-10-31
62,10,0,79,0,0,0,0,57,0,0,11,0,63,55,55,41,0,47,0,56,12,0,52,0,2021-11-07
70,9,0,76,0,0,0,0,56,0,0,12,0,69,60,60,42,0,79,0,47,13,0,47,0,2021-11-14
54,8,0,59,0,0,0,0,59,0,0,13,0,52,71,72,41,0,69,0,65,12,0,50,0,2021-11-21
70,9,0,80,0,0,0,0,63,0,0,11,0,59,50,56,39,0,67,0,42,12,0,59,0,2021-11-28
61,10,0,69,0,0,0,0,60,0,0,13,0,73,53,56,41,0,72,0,56,14,0,39,0,2021-12-05
64,9,0,65,0,0,0,0,57,0,0,13,0,54,52,52,39,0,68,0,63,13,0,49,0,2021-12-12
39,8,0,51,0,0,0,0,41,0,0,14,0,56,59,56,39,0,57,0,35,14,0,53,0,2021-12-19
40,8,0,46,0,0,0,0,34,0,0,15,0,37,44,33,43,0,45,0,19,13,0,50,0,2021-12-26
62,10,0,66,0,0,0,0,56,0,0,15,0,71,70,66,46,0,67,0,47,14,0,54,0,2022-01-02
74,10,0,72,0,0,0,0,72,0,0,15,0,77,77,73,47,0,82,0,68,13,0,89,0,2022-01-09
63,9,0,69,0,0,0,0,71,0,0,14,0,75,83,84,44,0,68,0,56,14,0,67,0,2022-01-16
76,10,0,82,0,0,0,0,69,0,0,15,0,87,81,87,45,0,79,0,46,13,0,64,0,2022-01-23
66,10,0,78,0,0,0,0,70,0,0,15,0,87,82,77,40,0,78,0,74,15,0,66,0,2022-01-30
80,10,0,81,0,0,0,0,83,0,0,15,0,94,100,84,38,0,68,0,36,14,0,78,0,2022-02-06
88,12,0,91,0,0,0,0,82,0,0,15,0,97,83,85,45,0,94,0,83,13,0,85,0,2022-02-13
76,10,0,79,0,0,0,0,83,0,0,15,0,88,75,79,38,0,79,0,47,13,0,89,0,2022-02-20
83,10,0,84,0,0,0,0,76,0,0,13,0,76,82,100,36,0,87,0,53,13,0,73,0,2022-02-27
76,10,0,78,0,0,0,0,84,0,0,13,0,89,86,91,38,0,93,0,71,13,0,81,0,2022-03-06
77,11,0,81,0,0,0,0,92,0,0,13,0,87,88,85,34,0,97,0,50,13,0,81,0,2022-03-13
81,10,0,81,0,0,0,0,96,0,0,14,0,96,83,98,36,0,86,0,91,13,0,90,0,2022-03-20
87,11,0,100,0,0,0,0,85,0,0,14,0,82,98,97,40,0,91,0,58,14,0,87,0,2022-03-27
88,11,0,87,0,0,0,0,84,0,0,15,0,96,96,97,39,0,76,0,63,14,0,87,0,2022-04-03
87,11,0,91,0,0,0,0,75,0,0,15,0,79,76,65,36,0,83,0,47,14,0,64,0,2022-04-10
100,12,0,99,0,0,0,0,87,0,0,14,0,87,77,89,38,0,89,0,52,13,0,69,0,2022-04-17
88,11,0,92,0,0,0,0,82,0,0,15,0,93,84,68,35,0,84,0,81,14,0,87,0,2022-04-24
83,11,0,85,0,0,0,0,88,0,0,15,0,97,89,97,39,0,86,0,77,13,0,83,0,2022-05-01
82,12,0,84,0,0,11,0,96,0,0,15,0,97,0,0,39,0,100,0,71,14,0,89,72,2022-05-08
73,10,0,79,0,0,10,0,85,0,0,14,0,87,0,0,39,0,84,0,58,15,0,95,63,2022-05-15
70,11,0,72,0,0,10,0,74,0,0,15,0,82,0,0,35,0,74,0,48,14,0,91,68,2022-05-22
63,11,0,68,0,0,8,0,62,0,0,15,0,80,0,0,36,0,83,0,67,14,0,94,56,2022-05-29
71,13,0,72,0,0,12,0,72,0,0,15,0,81,0,0,39,0,71,0,91,15,0,84,81,2022-06-05
66,20,0,76,0,0,18,0,72,0,0,18,0,82,0,0,40,0,75,0,76,17,0,95,65,2022-06-12
72,15,0,76,0,0,13,0,77,0,0,17,0,85,0,0,37,0,85,0,78,16,0,70,68,2022-06-19
68,15,0,76,0,0,12,0,74,0,0,15,0,77,0,0,40,0,82,0,58,16,0,83,72,2022-06-26
65,12,0,72,0,0,11,0,73,0,0,17,0,94,0,0,37,0,80,0,32,15,0,81,83,2022-07-03
76,14,0,76,0,0,11,0,66,0,0,15,0,95,0,0,36,0,65,0,61,15,0,71,73,2022-07-10
74,14,0,79,0,0,11,0,73,0,0,16,0,90,0,0,34,0,54,0,30,15,0,63,83,2022-07-17
70,14,0,75,0,0,10,0,75,0,0,17,0,68,0,0,39,0,63,0,70,13,0,73,83,2022-07-24
69,15,0,75,0,0,12,0,75,0,0,17,0,74,0,0,41,0,52,0,57,15,0,53,62,2022-07-31
69,18,0,79,0,0,16,0,74,0,0,19,0,76,0,0,35,0,59,0,42,15,0,51,54,2022-08-07
68,16,0,73,0,0,13,0,69,0,0,19,0,70,0,0,36,0,51,0,27,16,0,45,57,2022-08-14
62,15,0,75,0,0,13,0,68,0,0,19,0,72,0,0,38,0,52,0,51,16,0,46,72,2022-08-21
75,16,0,79,0,0,13,0,59,0,0,21,0,77,0,0,34,0,50,0,42,16,0,64,59,2022-08-28
77,17,0,80,0,0,14,0,64,0,0,21,0,72,0,0,38,0,59,0,47,16,0,70,86,2022-09-04
75,15,0,82,0,0,14,0,71,0,0,20,0,82,0,0,38,0,62,0,53,17,0,82,70,2022-09-11
83,17,0,85,0,0,13,0,68,0,0,19,0,67,0,0,37,0,76,0,44,16,0,79,86,2022-09-18
78,18,0,85,0,0,14,0,74,0,0,20,0,83,0,0,34,0,85,0,61,16,0,79,74,2022-09-25
78,16,0,84,0,0,15,0,82,0,0,20,0,75,0,0,38,0,75,0,47,17,0,75,68,2022-10-02
78,17,0,88,0,0,16,0,81,0,0,20,0,81,0,0,40,0,87,0,60,16,0,77,72,2022-10-09
80,16,0,86,0,0,14,0,80,0,0,22,0,85,0,0,40,0,90,0,66,17,0,83,71,2022-10-16
77,17,0,86,0,0,15,0,78,0,0,20,0,68,0,0,38,0,88,0,73,18,0,72,69,2022-10-23
78,17,0,87,0,0,16,0,77,0,0,21,0,78,0,0,34,0,64,0,63,17,0,82,73,2022-10-30
76,16,0,86,0,0,16,0,94,0,0,21,0,82,0,0,35,0,86,0,68,18,0,94,63,2022-11-06
77,16,0,86,0,0,15,0,88,0,0,27,0,84,0,0,39,0,97,0,39,19,0,99,73,2022-11-13
65,19,0,68,0,0,16,0,75,0,0,23,0,70,0,0,36,0,83,0,58,21,0,92,68,2022-11-20
86,28,2,86,0,0,23,2,93,0,0,27,1,76,0,0,40,1,76,0,64,22,0,89,62,2022-11-27
84,52,42,94,0,0,38,31,90,0,0,47,19,89,0,0,52,14,84,0,65,32,0,78,48,2022-12-04
84,39,51,82,0,0,29,42,83,0,0,47,25,83,0,0,67,20,79,0,58,33,0,81,72,2022-12-11
59,29,25,68,0,0,23,16,61,0,0,43,17,62,0,0,48,23,53,0,51,28,0,68,60,2022-12-18
49,25,19,56,0,0,18,14,50,0,0,36,12,57,0,0,43,20,50,0,54,27,0,67,56,2022-12-25
62,27,32,68,0,0,25,29,74,0,0,41,15,73,0,0,52,44,85,0,42,29,0,58,66,2023-01-01
70,29,46,73,0,0,33,50,86,0,0,55,32,84,0,0,54,61,90,0,84,38,0,82,61,2023-01-08
75,32,49,77,0,0,30,54,90,0,0,56,48,84,0,0,52,89,72,0,52,39,0,96,72,2023-01-15
85,38,68,94,0,0,35,57,90,0,0,55,68,92,0,0,54,81,98,0,72,45,0,95,76,2023-01-22
86,44,70,89,0,0,35,61,91,0,0,59,73,94,0,0,56,70,95,0,83,43,0,84,72,2023-01-29
89,46,94,86,0,0,39,78,90,0,0,58,79,81,0,0,57,72,87,0,64,45,0,87,83,2023-02-05
80,41,83,86,0,0,36,65,83,0,0,53,64,86,0,0,51,72,74,0,69,41,0,74,72,2023-02-12
80,39,72,83,0,0,36,77,90,0,0,56,54,100,0,0,55,69,83,0,73,40,0,87,78,2023-02-19
79,41,77,90,0,0,33,66,80,0,0,54,56,91,0,0,56,63,72,0,66,41,0,93,65,2023-02-26
94,39,74,83,0,0,35,74,95,0,0,52,51,88,0,0,52,63,76,0,61,42,0,95,52,2023-03-05
89,41,82,79,0,0,40,84,91,0,0,54,64,79,0,0,57,83,87,0,58,51,0,95,75,2023-03-12
85,48,100,79,0,0,43,93,88,0,0,58,73,80,0,0,59,92,86,0,58,54,0,83,74,2023-03-19
85,59,98,87,0,0,50,100,91,0,0,67,64,86,0,0,63,96,81,0,80,62,0,97,59,2023-03-26
84,55,91,81,0,0,49,82,75,0,0,67,59,72,0,0,63,100,82,0,54,63,0,72,66,2023-04-02
85,57,95,82,0,0,50,69,77,0,0,75,73,72,0,0,60,85,69,0,100,70,0,92,53,2023-04-09
86,100,100,88,0,0,62,86,84,0,0,83,82,97,0,0,66,83,87,0,83,80,0,92,69,2023-04-16
84,89,99,88,0,0,100,97,87,0,0,98,72,74,0,0,73,87,82,0,66,82,0,74,75,2023-04-23
85,72,96,83,0,0,63,82,76,0,0,100,65,79,0,0,100,89,69,0,77,93,0,85,72,2023-04-30
72,81,88,77,0,0,66,84,86,0,0,93,65,82,0,0,72,84,71,0,71,89,0,91,67,2023-05-07
71,77,88,78,0,0,67,85,81,0,0,90,74,70,0,0,74,80,73,0,62,90,0,85,72,2023-05-14
73,74,72,80,0,0,69,82,93,0,0,94,100,79,0,0,73,88,83,0,81,79,0,100,90,2023-05-21
71,68,68,75,0,0,63,61,80,0,0,92,68,71,0,0,68,72,72,0,77,73,0,71,55,2023-05-28
79,66,66,79,0,0,62,68,77,0,0,82,63,74,0,0,65,65,72,0,65,71,0,80,51,2023-06-04
75,73,64,74,0,0,66,63,78,0,0,91,71,74,0,0,72,64,74,0,63,81,0,90,66,2023-06-11
63,64,56,69,0,0,58,60,74,0,0,90,70,85,0,0,71,62,54,0,73,65,0,85,62,2023-06-18
79,67,59,77,0,0,54,57,62,0,0,85,63,87,0,0,70,61,69,0,64,69,0,75,56,2023-06-25
67,63,50,65,0,0,58,64,76,0,0,79,61,84,0,0,67,61,58,0,54,75,0,67,70,2023-07-02
79,75,59,81,0,0,60,62,87,0,0,78,59,91,0,0,68,57,57,0,63,67,0,65,54,2023-07-09
72,81,54,76,0,0,59,51,67,0,0,87,52,96,0,0,66,45,60,0,47,75,0,74,67,2023-07-16
80,68,52,83,0,0,53,46,75,0,0,74,46,78,0,0,64,45,68,0,54,66,0,73,68,2023-07-23
